"package","version","needed_by_dir","type","is_pecan"
"PEcAn.utils",">= 1.4.8","models/ldndc","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/sibcasa","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/stics","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/template","Imports",TRUE
"PEcAn.visualization","*","modules/assim.sequential","Suggests",TRUE
"PEcAn.visualization","*","modules/data.land","Imports",TRUE
"PEcAn.visualization","*","modules/priors","Suggests",TRUE
"PEcAn.workflow","*","base/all","Depends",TRUE
"PEcAn.workflow","*","modules/assim.batch","Imports",TRUE
"PEcAn.workflow","*","modules/assim.sequential","Imports",TRUE
